Size, Kernel, Time, Choice, Gflops
128, 3, 2235,  cpu,  0.131
128, 5, 2462,  cpu,  0.332
256, 3, 4302,  cpu,  0.274
256, 5, 9081,  cpu,  0.36
512, 3, 13379,  cpu,  0.352
512, 5, 33664,  cpu,  0.389
1024, 3, 54133,  cpu,  0.348
1024, 5, 135062,  cpu,  0.388
2048, 3, 217999,  cpu,  0.346
2048, 5, 542253, cpu, 0.386
128, 3, 278,  naive,  1.06083
128, 3, 186, tiled, 1.58555
128, 5, 157,  naive,  5.21783
128, 5, 257, tiled, 3.18755
256, 3, 685,  naive,  1.72211
256, 3, 806, tiled, 1.46358
256, 5, 391,  naive,  8.38056
256, 5, 444, tiled, 7.38018
512, 3, 1343,  naive,  3.51347
512, 3, 1322, tiled, 3.56928
512, 5, 1760,  naive,  7.44727
512, 5, 1523, tiled, 8.60617
1024, 3, 5893,  naive,  3.20285
1024, 3, 5647, tiled, 3.34237
1024, 5, 4964,  naive,  10.5618
1024, 5, 6240, tiled, 8.40205
2048, 3, 25212,  naive,  2.99451
2048, 3, 18247, tiled, 4.13753
2048, 5, 19442,  naive,  10.7867
2048, 5, 22426, tiled, 9.35143
